Division,season,n,skew_exante,p_fav_dv
JAP,2019,310,0.30710609142141304,0.4527798730315301
JAP,2020,306,0.2012190361155104,0.4939861530705652
JAP,2021,380,0.258064042905422,0.48811814887858884
JAP,2022,310,0.2996689760592704,0.4630365333586157
JAP,2023,306,0.2688857111531502,0.467760451439443
JAP,2024,326,0.29148798334875065,0.46386975217297033
MEX,2012,167,0.27843593479591067,0.4677736495103341
MEX,2013,334,0.2737980249984733,0.4703104142876611
MEX,2014,334,0.28900241317499725,0.462009071055309
MEX,2015,334,0.3014358574747427,0.45678405374732617
MEX,2016,334,0.2585536780333198,0.477573943511329
MEX,2017,334,0.26458020454594905,0.47493635233795856
MEX,2018,334,0.25847522091154385,0.4745385076023959
MEX,2019,352,0.2335802883766602,0.49535204657817045
MEX,2020,261,0.24890791424055722,0.47501952343485315
MEX,2021,342,0.27198026965208855,0.47381771712113835
MEX,2022,342,0.30218180722619004,0.4680017527287214
MEX,2023,341,0.19700154157245303,0.5015371498323884
MEX,2024,271,0.17487084977179318,0.508398715242338
N1,2005,279,0.12314892887580933,0.5380994120460795
N1,2006,327,0.14402391237987258,0.5453170576976308
N1,2007,270,0.05053995219868976,0.5664251468426486
N1,2008,284,0.17512259299771255,0.5347572832080696
N1,2009,310,0.13718236799235717,0.5506107962512774
N1,2010,316,0.09250058450546017,0.5717033410487176
N1,2011,292,0.060396780249672516,0.5781638190357471
N1,2012,315,0.0008168281426085094,0.5893405831583195
N1,2013,306,0.08708623229091732,0.5583890769364042
N1,2014,297,0.0570645611150618,0.5603574270554988
N1,2015,306,0.10688723726866674,0.5460384383796558
N1,2016,306,0.13593382859488906,0.5466180187787781
N1,2017,313,0.09275987461486164,0.5659499787677877
N1,2018,299,0.09677999788233824,0.5742820496366075
N1,2019,315,0.06741302015303066,0.5881399344412525
N1,2020,196,0.060143718417926526,0.576739954018176
N1,2021,342,0.1255625203916966,0.5630361645428948
N1,2022,270,0.11729201534556295,0.5703158639358124
N1,2023,324,0.1164924949238987,0.5736210631229578
N1,2024,314,0.08440148632935292,0.5828199916414871
N1,2025,154,0.1457331167136404,0.5531196798321021
NOR,2012,242,0.1568742464720009,0.5180344443894064
NOR,2013,242,0.1776350769474026,0.509028293269252
NOR,2014,242,0.16636908900156214,0.5168798625432666
NOR,2015,242,0.1327278782481478,0.5349629518424392
NOR,2016,242,0.1466749126599827,0.5204899900091319
NOR,2017,242,0.20629516664164207,0.4972017781555799
NOR,2018,241,0.1975272473339374,0.5001073829467103
NOR,2019,242,0.2094365567266439,0.4994472162862257
NOR,2020,240,0.19194219704421545,0.513036256496758
NOR,2021,241,0.15578695543050353,0.5195224008347451
NOR,2022,242,0.13665210830824714,0.5377575147374164
NOR,2023,242,0.11049557332176378,0.5438220627018593
NOR,2024,192,0.15932307741957774,0.5252527812872066
P1,2005,315,0.18128506347373488,0.5092559314079532
P1,2006,274,0.15414252020300043,0.5191653906743813
P1,2007,239,0.1792374029541942,0.525311813423922
P1,2008,193,0.20779103488426462,0.5155934437733473
P1,2009,256,0.22727012595165766,0.5180019124724873
P1,2010,240,0.2097500902561359,0.5317957078028016
P1,2013,257,0.1921579294450488,0.5442308773421359
P1,2014,254,0.19151382353533766,0.5390384784970959
P1,2015,306,0.2202054549020867,0.5500846005807062
P1,2016,315,0.2383881093115482,0.5374819580461823
P1,2017,307,0.22967572252800575,0.5405535403295891
P1,2018,296,0.19998391423195078,0.5494483700622451
P1,2019,306,0.16200062648911903,0.5509066331333519
P1,2020,279,0.23623428620680617,0.5347028514690336
P1,2021,348,0.28222351758952147,0.521109973874145
P1,2022,290,0.23396049629709773,0.5396330201193025
P1,2023,316,0.2580462087904782,0.5425837361608461
P1,2024,315,0.23919913076200655,0.55614896173381
P1,2025,162,0.2053718360284892,0.5403748424181778
POL,2013,288,0.26351996321416293,0.4761765058149873
POL,2014,280,0.2690728767168434,0.47293310327299615
POL,2015,312,0.2928123648272406,0.4710744542963112
POL,2016,288,0.2690879137742547,0.46959569884517216
POL,2017,304,0.25855198472645835,0.47866737283087263
