Division,year,n,skew_exante,p_fav,fav_win_rate,var,treated
P1,2005,315,0.18128506347373488,0.5092559314079532,0.4984126984126984,0,1
P1,2006,274,0.15414252020300043,0.5191653906743813,0.5547445255474452,0,1
P1,2007,239,0.1792374029541942,0.525311813423922,0.4811715481171548,0,1
P1,2008,193,0.20779103488426462,0.5155934437733473,0.5440414507772021,0,1
P1,2009,256,0.22727012595165766,0.5180019124724873,0.5390625,0,1
P1,2010,240,0.2097500902561359,0.5317957078028016,0.5541666666666667,0,1
P1,2013,257,0.1921579294450488,0.5442308773421359,0.5953307392996109,0,1
P1,2014,254,0.19151382353533766,0.5390384784970959,0.5511811023622047,0,1
P1,2015,306,0.2202054549020867,0.5500846005807062,0.5490196078431373,0,1
P1,2016,315,0.2383881093115482,0.5374819580461823,0.546031746031746,0,1
P1,2017,307,0.22967572252800575,0.5405535403295891,0.5570032573289903,0,1
P1,2018,296,0.19998391423195078,0.5494483700622451,0.6047297297297297,0,1
P1,2019,306,0.16200062648911903,0.5509066331333519,0.5392156862745098,0,1
P1,2020,279,0.23623428620680617,0.5347028514690336,0.5448028673835126,1,1
P1,2021,348,0.28222351758952147,0.521109973874145,0.5431034482758621,1,1
P1,2022,290,0.23396049629709773,0.5396330201193025,0.5379310344827586,1,1
P1,2023,316,0.2580462087904782,0.5425837361608461,0.6392405063291139,1,1
P1,2024,315,0.23919913076200655,0.55614896173381,0.5777777777777777,1,1
P1,2025,162,0.2053718360284892,0.5403748424181778,0.5308641975308642,1,1
SC1,2005,164,0.19287745743082754,0.49024244469622474,0.47560975609756095,0,0
SC1,2006,176,0.1699972829490963,0.49900191735573146,0.48295454545454547,0,0
SC1,2007,175,0.20364713217820038,0.4826219479434318,0.42857142857142855,0,0
SC1,2008,179,0.24773998664819064,0.47351393556535354,0.5251396648044693,0,0
SC1,2009,177,0.2613921558192973,0.4666811001499694,0.4067796610169492,0,0
SC1,2010,163,0.23429406605996242,0.4779688260178559,0.50920245398773,0,0
SC1,2011,192,0.2725056716776287,0.47673273503232244,0.4791666666666667,0,0
SC1,2012,173,0.24368075678009804,0.48416029855320053,0.45664739884393063,0,0
SC1,2013,189,0.17577314788286066,0.5064642509615769,0.5185185185185185,0,0
SC1,2014,181,0.12165598393190966,0.5322115354712524,0.5359116022099447,0,0
SC1,2015,181,0.03859357480720936,0.5795193297328358,0.6187845303867403,0,0
SC1,2016,182,0.12964195053531272,0.5509931711676342,0.489010989010989,0,0
SC1,2017,176,0.21543244005397172,0.5049433823957392,0.44886363636363635,0,0
SC1,2018,185,0.2272421929399747,0.5014567948818609,0.4918918918918919,0,0
SC1,2019,179,0.24574448152477915,0.4801187708440421,0.4581005586592179,0,0
SC1,2021,180,0.24253075123784185,0.47965094631798055,0.43333333333333335,0,0
SC1,2022,179,0.3150202332289778,0.4472640078776879,0.43575418994413406,0,0
SC1,2023,175,0.2421970381869205,0.48015535273478477,0.4742857142857143,0,0
SC1,2024,169,0.20179317890277054,0.49854637836015664,0.48520710059171596,0,0
SC2,2005,186,0.22591477628983825,0.4886562762497937,0.5161290322580645,0,0
SC2,2006,181,0.17220639198590007,0.508067844638863,0.5248618784530387,0,0
SC2,2007,175,0.16130759984866716,0.49560030097735275,0.4742857142857143,0,0
SC2,2008,181,0.21842537354323527,0.48432885294813444,0.5248618784530387,0,0
SC2,2009,174,0.2152922699661141,0.49142722369639985,0.4827586206896552,0,0
SC2,2010,166,0.2519186001990665,0.46883548424012583,0.46987951807228917,0,0
SC2,2011,190,0.23676937929584593,0.4728265394175354,0.46842105263157896,0,0
SC2,2012,183,0.20054549287856033,0.48862260602569135,0.5027322404371585,0,0
SC2,2013,184,0.15707855683338548,0.532082496893996,0.592391304347826,0,0
SC2,2014,179,0.1942131268499711,0.5208247471683363,0.48044692737430167,0,0
SC2,2015,186,0.15217980638079126,0.5095097244031686,0.5161290322580645,0,0
SC2,2016,179,0.17002250363152988,0.5059257760127018,0.46368715083798884,0,0
SC2,2017,178,0.19411352992775652,0.49493116902875195,0.5168539325842697,0,0
SC2,2018,184,0.1960157511161792,0.49650483933206224,0.4945652173913043,0,0
SC2,2019,181,0.20356196605171825,0.48658471509622436,0.4198895027624309,0,0
SC2,2021,155,0.21186598905737014,0.48773899010818184,0.5161290322580645,0,0
SC2,2022,182,0.18552454901446527,0.49443029774824565,0.5494505494505495,0,0
SC2,2023,176,0.1375163865779919,0.5309005980540161,0.5568181818181818,0,0
SC2,2024,169,0.2342129214751312,0.5225662747995039,0.5207100591715976,0,0
SC3,2005,179,0.16792487108862533,0.5363871086796913,0.5307262569832403,0,0
SC3,2006,188,0.15424638145412956,0.520365580334539,0.574468085106383,0,0
SC3,2007,172,0.13518173005426917,0.5199557702898046,0.5755813953488372,0,0
SC3,2008,177,0.19369931438890503,0.4884627846860577,0.4858757062146893,0,0
SC3,2009,176,0.21710396872045626,0.48952476232348835,0.5056818181818182,0,0
SC3,2010,167,0.25554233611920746,0.4778042140373105,0.48502994011976047,0,0
SC3,2011,194,0.22236334775470645,0.4846665443038982,0.4793814432989691,0,0
SC3,2012,180,0.17259780727198915,0.5332798306445343,0.5222222222222223,0,0
SC3,2013,186,0.21657069957781963,0.5087807042169391,0.46236559139784944,0,0
SC3,2014,180,0.2061367362473629,0.48446950169414343,0.5166666666666667,0,0
SC3,2015,180,0.1905403462896974,0.4847098381291511,0.40555555555555556,0,0
SC3,2016,180,0.17441257129341065,0.49927293461725786,0.4388888888888889,0,0
SC3,2017,175,0.20123797368772536,0.48052878696953827,0.45714285714285713,0,0
SC3,2018,184,0.15532200699196336,0.5218814569827704,0.5869565217391305,0,0
SC3,2019,181,0.12392924076916559,0.5421316696092278,0.574585635359116,0,0
SC3,2021,155,0.21009989507981638,0.5033736193620415,0.5290322580645161,0,0
SC3,2022,180,0.2932662923786771,0.45867660582824027,0.4166666666666667,0,0
SC3,2023,176,0.2404397174779215,0.4661308081425833,0.4659090909090909,0,0
SC3,2024,172,0.2729272662610244,0.4668822332027914,0.4069767441860465,0,0
SP1,2005,301,0.21146671572031092,0.5012065176856326,0.5016611295681063,0,1
SP1,2006,210,0.23294134589946472,0.49699061475909834,0.4714285714285714,0,1
SP1,2007,170,0.22406743159470516,0.5093711251887866,0.49411764705882355,0,1
SP1,2008,370,0.2035755839221759,0.5051384157259861,0.5540540540540541,0,1
SP1,2009,370,0.20740304790274447,0.5129585843761572,0.5648648648648649,0,1
SP1,2010,390,0.14839529543056149,0.5428707837476447,0.617948717948718,0,1
SP1,2011,380,0.16209573233447047,0.5459984698263639,0.5526315789473685,0,1
SP1,2012,390,0.15084695673283685,0.5514295411330651,0.5487179487179488,0,1
SP1,2013,380,0.15583662326297895,0.547881794806093,0.5421052631578948,0,1
SP1,2014,369,0.1417551226530214,0.5677366123263311,0.5365853658536586,0,1
SP1,2015,390,0.18468716216879047,0.5595544047372837,0.5538461538461539,0,1
SP1,2016,370,0.16346012374636715,0.5614787291516458,0.5783783783783784,0,1
SP1,2017,390,0.16047881332598615,0.5611368282747494,0.5717948717948718,0,1
SP1,2018,380,0.16561543841297285,0.5502540454065211,0.49473684210526314,0,1
SP1,2019,391,0.21317809519854053,0.5185646254347013,0.5242966751918159,1,1
SP1,2020,355,0.2690818815552546,0.5090544482673963,0.49295774647887325,1,1
SP1,2021,407,0.2119823336666892,0.5175922623892302,0.5503685503685504,1,1
SP1,2022,348,0.22675427046004973,0.5138184645475374,0.5258620689655172,1,1
SP1,2023,410,0.236861265569146,0.5109962643139198,0.5463414634146342,1,1
SP1,2024,381,0.21406018218721282,0.5155895209985117,0.5564304461942258,1,1
SP1,2025,199,0.20317672338060358,0.5366450492059862,0.5527638190954773,1,1
T1,2005,303,0.10535825907514894,0.5428790827436188,0.5082508250825083,0,1
T1,2006,304,0.16865061882577465,0.5156272344422397,0.5098684210526315,0,1
T1,2007,288,0.17330163353048045,0.5138016153705094,0.5416666666666666,0,1
T1,2008,294,0.18310011385807795,0.5184082809724608,0.5544217687074829,0,1
T1,2009,162,0.1320128237229168,0.5345274087338707,0.5802469135802469,0,1
T1,2010,153,0.24721676725815672,0.5031296100403853,0.5294117647058824,0,1
T1,2011,306,0.22113254691866255,0.5032037555644971,0.5032679738562091,0,1
T1,2012,301,0.20706565163756055,0.5094838703485676,0.5083056478405316,0,1
T1,2013,306,0.21947715333068737,0.49376395080092306,0.545751633986928,0,1
T1,2014,289,0.20688846367583938,0.49950151357498396,0.4602076124567474,0,1
T1,2015,323,0.22863395144356982,0.5020788784527928,0.5325077399380805,0,1
T1,2016,297,0.19997429576335451,0.507288279222816,0.5387205387205387,0,1
T1,2017,315,0.16945358016112472,0.5193418799186926,0.5492063492063493,0,1
T1,2018,303,0.1620049491006794,0.5303476735474778,0.5346534653465347,0,1
T1,2019,306,0.17412384349108143,0.513357591214839,0.49019607843137253,1,1
T1,2020,303,0.21255643928639728,0.4944112201817726,0.46534653465346537,1,1
T1,2021,460,0.25586516153360833,0.4846709054526971,0.49782608695652175,1,1
T1,2022,333,0.2176476624090787,0.4914414125225164,0.5435435435435435,1,1
T1,2023,340,0.17821272914773809,0.5132306311509482,0.5411764705882353,1,1
T1,2024,336,0.17675255044401353,0.5227270954644998,0.5654761904761905,1,1
T1,2025,188,0.15468538237308327,0.542780195323925,0.6170212765957447,1,1
