,ret_fav
2007-12-16,0.1712459924786911
2007-12-26,0.13347199734828627
2008-01-12,0.16028860363417605
2008-01-26,0.1678907474805722
2008-02-03,0.17631901724298882
2008-02-12,0.24420690526450547
2008-02-23,0.2078068904106146
2008-03-01,0.1595033679230266
2008-03-09,0.2148532689255045
2008-03-16,0.1543395417470319
2008-03-23,0.14560947440084288
2008-04-05,0.16490284749883316
2008-04-12,0.11872837727133619
2008-04-19,0.06769630356587152
2008-05-02,0.11918006495836785
2008-05-11,0.13232586360897577
2008-08-09,0.19013192898986836
2008-08-23,0.25441130412288143
2008-09-06,0.22636713663334054
2008-09-20,0.1884604797735569
2008-09-27,0.1788017591515606
2008-10-04,0.1921850440334484
2008-10-18,0.2318398048385331
2008-10-26,0.2899874853147876
2008-11-01,0.2725827970620401
2008-11-11,0.2721773469363725
2008-11-22,0.20317195016485426
2008-11-30,0.16022195986705837
2008-12-09,0.2135030800101706
2008-12-20,0.1646144575950245
2009-01-04,0.21000042409587658
2009-01-18,0.2796542980043326
2009-01-31,0.25033206768072286
2009-02-07,0.35653820401314096
2009-02-15,0.3596137341444024
2009-02-24,0.3246343381909642
2009-03-06,0.35862750628567897
2009-03-14,0.3058738246984703
2009-03-21,0.2595964777022823
2009-04-04,0.23139372038120565
2009-04-11,0.12697654154241905
2009-04-18,0.14074094970455092
2009-04-26,0.1416135139961711
2009-05-09,0.13537217660723694
2009-05-22,0.18224439248018362
2009-08-08,0.1375932135102085
2009-08-18,0.1837573136734571
2009-08-29,0.1976941778425064
2009-09-12,0.2426909433705883
2009-09-20,0.318008881417342
2009-09-29,0.2878387807072952
2009-10-16,0.24362159728366012
2009-10-24,0.22004002447319626
2009-10-31,0.16871905602423207
2009-11-14,0.1526644703737471
2009-11-28,0.21533205100434
2009-12-05,0.16953661618642069
2009-12-15,0.14678651709497587
2009-12-29,0.16071389605655761
2010-01-17,0.1751793783268744
2010-01-27,0.19847248195660439
2010-02-06,0.2209790154099912
2010-02-13,0.20853420292298747
2010-02-22,0.206844990115172
2010-03-06,0.19202600319662555
2010-03-13,0.17927915550365048
2010-03-21,0.16353722845557056
2010-03-28,0.141941923241832
2010-04-09,0.16899752068088836
2010-04-17,0.18960055280901889
2010-04-24,0.2145266770156199
2010-05-04,0.2519222548379635
2010-05-30,0.2827855234299372
2010-08-16,0.28068851564553454
2010-08-28,0.299783721808852
2010-09-11,0.23173080771789414
2010-09-19,0.24432449040021276
2010-09-26,0.2343593665227274
2010-10-04,0.19494597029871386
2010-10-19,0.20722692804809031
2010-10-30,0.20674420113809822
2010-11-06,0.21028397526134496
2010-11-13,0.22610498892595954
2010-11-26,0.20261784874283548
2010-12-05,0.21488450794021394
2010-12-18,0.19799891132394212
2011-01-03,0.22629627864036342
2011-01-15,0.24263277231081196
2011-01-26,0.1958169771175324
2011-02-05,0.19862840389087766
2011-02-12,0.21885916532796806
2011-02-20,0.2528530547988223
2011-02-27,0.28408441532543216
2011-03-06,0.27709634003460665
2011-03-15,0.2164956673291365
2011-03-26,0.17231664411440328
2011-04-08,0.18342022341131697
2011-04-16,0.19686170930769933
2011-04-23,0.20912344484482265
2011-05-02,0.24232542870491972
2011-05-14,0.2892594143673682
2011-07-29,0.33113764528368744
2011-08-14,0.35306890777663796
2011-08-27,0.29812499024163147
2011-09-10,0.21235992913820836
2011-09-17,0.18580393806501155
2011-09-24,0.2263361478584244
2011-10-01,0.2644731692383855
2011-10-15,0.2124034722292139
2011-10-23,0.22733892709166761
2011-10-31,0.20564136259282914
2011-11-18,0.19666775205898476
2011-11-26,0.27839430954128785
2011-12-04,0.28041460314782013
2011-12-17,0.22086923340007705
2011-12-26,0.20364475458111433
2012-01-09,0.18266915316651164
2012-01-18,0.18950082718295966
2012-01-28,0.1886925625291558
2012-02-05,0.17451830282071767
2012-02-12,0.17465960758928203
2012-02-21,0.189603083309855
2012-03-03,0.2745886970482965
2012-03-09,0.2961818064125584
2012-03-17,0.2911041226133428
2012-03-23,0.27740205148306285
2012-03-31,0.2105976974897727
2012-04-07,0.2329503719617895
2012-04-11,0.25680297275946706
2012-04-18,0.18832685845659156
2012-04-27,0.20663282609211933
2012-05-02,0.16335986560326013
2012-05-11,0.1377478993949955
2012-05-23,0.19141387791487555
2012-06-23,0.20868691386968788
2012-07-19,0.2941349751547002
2012-08-04,0.29810581273160486
2012-08-18,0.3003535736962216
2012-08-24,0.28064976810358877
2012-08-26,0.2933827550868831
2012-09-02,0.26277393249060427
2012-09-15,0.2936689031322601
2012-09-18,0.32040981697353077
2012-09-23,0.2647676757563628
2012-09-29,0.2813657898776735
2012-10-05,0.21915406509459998
2012-10-11,0.22286694403064694
2012-10-20,0.26706961203618657
2012-10-26,0.2886162247040221
2012-10-28,0.32737462356962266
2012-11-06,0.33725498058042974
2012-11-11,0.3112922253228451
2012-11-18,0.35733477984859074
2012-11-24,0.2998739323553034
2012-12-01,0.2829571434905796
2012-12-08,0.2585499693320592
2012-12-15,0.21139658195455255
2012-12-26,0.24658133569608534
2013-01-05,0.24444534100466173
2013-01-12,0.25199238416595954
2013-01-25,0.27939614417787045
2013-02-02,0.29345782151610883
2013-02-09,0.26341299850411076
2013-02-15,0.2776730927821737
2013-02-22,0.2637585110197432
2013-02-26,0.2810830936205296
2013-03-05,0.29853128066619744
2013-03-10,0.2671897453936153
2013-03-16,0.2528992532942687
2013-03-24,0.23616270384960583
2013-03-31,0.20688285618273525
2013-04-06,0.22282918446964345
2013-04-13,0.19501201340890806
2013-04-16,0.18762525937030067
2013-04-21,0.1892207004655527
2013-04-27,0.16668057772134842
2013-05-05,0.15821013954160495
2013-05-12,0.09669163287976117
2013-05-20,0.15289777503628965
2013-06-02,0.21225773830300998
2013-06-23,0.24940790942266514
2013-07-17,0.3214808849770225
2013-08-03,0.2542498042024808
2013-08-12,0.2445048386447951
2013-08-18,0.19974749376427378
2013-08-24,0.21758834593386273
2013-08-31,0.26128745783658663
2013-09-06,0.2165716239607786
2013-09-14,0.24151506016032218
2013-09-21,0.17042347092538188
2013-09-22,0.18233019494598598
2013-09-28,0.17074483448160413
2013-10-04,0.14618343625488897
2013-10-08,0.20225476341406262
2013-10-19,0.1744492956326265
2013-10-23,0.17057868987373892
2013-10-27,0.2006415749017118
2013-11-03,0.10134856605086286
2013-11-10,0.10152757721891803
2013-11-23,0.17263855916541807
2013-11-29,0.18539677782495295
2013-12-05,0.2864953651753405
2013-12-14,0.293881930983064
2013-12-21,0.244966296440857
2013-12-28,0.19580589885636518
2014-01-06,0.19664969308477018
2014-01-18,0.21703744661979782
2014-01-25,0.2949744458427345
2014-02-02,0.3408029002713077
2014-02-08,0.33013884127559895
2014-02-15,0.3546788731856475
2014-02-22,0.3100048247237743
2014-03-01,0.2954941694410531
2014-03-08,0.34628928085925603
2014-03-11,0.314336388964796
2014-03-16,0.2862488590474534
2014-03-22,0.34955836032696025
2014-03-28,0.2958912685902755
2014-03-30,0.23635494655296818
2014-04-05,0.25258908921267964
2014-04-12,0.21881654543349338
2014-04-18,0.18888959131740923
2014-04-21,0.2261895866412896
2014-04-27,0.2669995093126731
2014-05-04,0.2712111096174805
2014-05-11,0.3018925872124869
2014-05-20,0.2866704619198149
2014-06-05,0.24602181637994627
2014-07-14,0.18586311051166
2014-08-01,0.13120298070820535
2014-08-11,0.21402261556141533
2014-08-17,0.1910846472415526
2014-08-23,0.22341428098601135
2014-08-30,0.2617803302966164
2014-09-02,0.23049821621219552
2014-09-13,0.23855703814457166
2014-09-14,0.24963812360151996
2014-09-20,0.1873403191032272
2014-09-25,0.1665970415200193
2014-09-28,0.17150066986350482
2014-10-04,0.1853083725845997
2014-10-13,0.21147572642011936
2014-10-19,0.1580164030286626
2014-10-25,0.1565905034841931
2014-10-31,0.16349258259851093
2014-11-05,0.23632598346282624
2014-11-15,0.3053397715721638
2014-11-22,0.2807111638051093
2014-11-29,0.2740209275790542
2014-12-05,0.21598087958727455
2014-12-13,0.19717986236750143
2014-12-20,0.2952360173587694
2014-12-28,0.2858043019711494
2015-01-08,0.2760195014700458
2015-01-17,0.2913383993493333
2015-01-25,0.23349703052872367
2015-02-03,0.25696293276040244
2015-02-08,0.3240002237034865
