Division,n,p_fav_dv,var,skew,exkurt,std5,std6,wf_m2,wf_m3,wf_m4,wf_m5,wf_m6,var_pred,skew_pred,exkurt_pred
D2,6238,0.4778814182943533,1.0353800824270813,0.2449515404063349,-1.7563433012424015,0.7706076138382729,1.8947747240504602,0.9998250805144088,1.0147345077424474,1.0046422007579423,1.0185821671112203,1.0126415327293863,1.1626419433792825,0.26404668818823923,-1.7215772397224047
EC,7096,0.48627674284696554,1.0059258792096732,0.22583090084913496,-1.7523518754722012,0.7346430984831679,1.895997245624949,0.9999067604920412,1.0241358916805392,1.006430812200232,1.0285114537493136,1.0174520322657425,1.1327398516399783,0.2512186883581366,-1.7049366260556211
DEN,2634,0.49401749212986407,0.9992310566156923,0.22333150994287856,-1.7175367602608969,0.779418195035827,2.0400214534646373,0.9999514526030238,1.029208132771978,1.0074189433351424,1.032958091832008,1.0200890253365655,1.1058632927971215,0.23964238918314482,-1.6887065079588734
SC1,3549,0.49592809261717824,0.9694958757142347,0.21777187066573214,-1.7220205768763068,0.7566781465897751,2.008395607220046,0.9997436823340721,1.0286057860737456,1.006368627498195,1.0281277449758806,1.015866543873003,1.0994280071893534,0.23686776777905955,-1.6844312566859267
SC3,3566,0.49806184827106803,0.9572855274712045,0.20887195413809265,-1.7303065257145651,0.721766883267633,1.9593288948234424,0.9997418868833918,1.0263074903640317,1.0062773978828505,1.0282664828515802,1.0165046518321876,1.0922748764743322,0.23378314928734387,-1.6796108271807884
SC2,3565,0.4991465102310449,0.9519181630715398,0.19687672517632235,-1.7431163192952455,0.6815079217725366,1.9082281571980702,0.999729682826914,1.0290993502914858,1.0060095845057249,1.0288679940285805,1.0154913045820215,1.088638692187166,0.23221513078770642,-1.677160435775642
FIN,2354,0.5012227930711941,0.9740344440020211,0.2288158110056756,-1.6803013107310703,0.836611947700519,2.1870998233093726,0.9999096775929898,1.03638097718551,1.0088661030990336,1.0385849741397424,1.0234928869343332,1.081678231400633,0.22921359664714966,-1.672469844776892
BRA,4849,0.501314579322712,0.9746948166825414,0.22861784332244542,-1.6622082056584322,0.8829932325866545,2.311552819311151,0.9999251068426226,1.0337306265727804,1.0087064632117977,1.036153183443919,1.022982466503977,1.0813705302569936,0.22908090780426316,-1.6722624877844565
ROM,3639,0.501958902722623,0.9606736531551371,0.24948899235151392,-1.6392216880387465,0.9443956347645198,2.3882002548179924,0.9999064356835288,1.0408456104776906,1.0109262739715672,1.0438377398410041,1.0286786860796995,1.079210522153953,0.22814945538121387,-1.6708068780373329
F1,7539,0.5024708427924498,0.9828274273259875,0.23406251782738258,-1.6663020051008375,0.8700453059075222,2.260258062741923,0.9997393567434394,1.0311785913363345,1.0075062798183003,1.031614756811423,1.0198784179862734,1.0774943114758218,0.2274093801044786,-1.669650339324497
