Division,n,home,draw,p_fav,h,c,sigma_L,skew_model,skew_exante,p_fav_dv_mean
EC,7096,0.42770574971815106,0.2528184892897407,0.48627674284696554,0.15269772911138893,0.3462288962689315,0.25551776025589246,0.2250466360399593,0.22583090084913496,0.48627674284696554
NOR,3092,0.47089262613195343,0.2461190168175938,0.5180119822218189,0.2716604840340184,0.35061586941205564,0.29602306599320166,0.1736865172893196,0.16736553032359283,0.5180119822218189
T1,6210,0.4590982286634461,0.25507246376811593,0.5105924430102081,0.2513178611194087,0.36256161382917257,0.2982292652658576,0.20012407125286077,0.1978882646427065,0.5105924430102081
F1,7539,0.4456824512534819,0.2744395808462661,0.5024708427924498,0.24418855780065213,0.39321407115997015,0.3118373119040251,0.24903649209683143,0.23406251782738252,0.5024708427924498
SC1,3549,0.41335587489433645,0.27106227106227104,0.49592809261717824,0.1433466467241271,0.38312393759357477,0.31813658820677115,0.24976965154115358,0.21777187066573214,0.49592809261717824
ROM,3639,0.427040395713108,0.27782357790601814,0.501958902722623,0.19629246957482963,0.3995290857956706,0.33504501857450036,0.2594135980269665,0.2494889923515139,0.501958902722623
B1,5420,0.46014760147601474,0.2485239852398524,0.5247842954141143,0.24898932875718663,0.3595627245500275,0.33651477900445337,0.17709470203318275,0.15532473367761768,0.5247842954141143
RUS,3004,0.43974700399467376,0.2563249001331558,0.5161552264713584,0.2007145978138514,0.368681174230315,0.3400788756331608,0.20192482058558328,0.2269201830059287,0.5161552264713584
SWE,3110,0.4379421221864952,0.25241157556270094,0.5213332750315701,0.19050926877346175,0.3647990804978755,0.35297673445213285,0.19024591022690837,0.17326797973560518,0.5213332750315701
SP1,7351,0.4675554346347436,0.24976193715140796,0.5319088929623405,0.27588113835453126,0.366639642799941,0.35303280020882905,0.17531844724867968,0.19607664195017324,0.5319088929623405
D1,6273,0.44827036505659174,0.24948190658377173,0.5279339920711643,0.21789804284629574,0.3636301268311062,0.3610367818095641,0.17896978989140355,0.1802095414344453,0.5279339920711643
SC0,4539,0.43093192333113023,0.24036131306455166,0.5346462983463758,0.15341488932184014,0.35103602313672994,0.38335814970634663,0.1554930691689831,0.2162315505001126,0.5346462983463758
I1,7726,0.44563810509966345,0.2654672534299767,0.5286429278056974,0.23968179625056563,0.39536000587666165,0.38855817077812993,0.21822479670327466,0.18096984633015156,0.5286429278056974
E0,7735,0.4575307045895281,0.24214608920491273,0.5428351674461053,0.23834080489332443,0.35999099754444763,0.3916337587755771,0.15415281662565838,0.16695804663737238,0.5428351674461053
P1,5491,0.44254234201420506,0.25295938808960117,0.5349514123697344,0.21023254417596315,0.37543375923470973,0.39450805090932567,0.18504585437687937,0.2172971145052108,0.5349514123697344
G1,4039,0.4763555335479079,0.25922257984649666,0.5447704123921426,0.3278071777162378,0.3957012074967881,0.40018267911284666,0.1964864664054474,0.182491938983735,0.5447704123921426
N1,6135,0.4684596577017115,0.230480847595762,0.5637252898496593,0.2599050087620183,0.35263415756078476,0.4364418906253387,0.11785400118308802,0.10063274889173841,0.5637252898496593
